SwissLipids ID	UniProtKB AC(s)	Gene name	Protein taxon	Taxon scientific name	Rhea ID	Reaction text	Evidence tag ID
SLP:000000002	G5ED45	hyl-1	6239	Caenorhabditis elegans	34604	Fatty acyl-CoA + 15-methylhexadecasphinganine => H+ + CoA + Ceramide (iso-d17:0)	2705
SLP:000000003	Q7Z139	hyl-2	6239	Caenorhabditis elegans	34604	Fatty acyl-CoA + 15-methylhexadecasphinganine => H+ + CoA + Ceramide (iso-d17:0)	2706
SLP:000000008	Q9Y194	spl-1	6239	Caenorhabditis elegans	34744	15-methylhexadecasphinganine 1-phosphate => phosphoethanolamine + 13-methyltetradecanal	2713 | 2842
SLP:000000009	Q10916	asm-1	6239	Caenorhabditis elegans	34740	H2O + Sphingomyelin (iso-d17:1(4E)) => H+ + choline phosphate + Ceramide (iso-d17:1(4E))	2714
SLP:000000010	Q23498	asm-2	6239	Caenorhabditis elegans	34740	H2O + Sphingomyelin (iso-d17:1(4E)) => H+ + choline phosphate + Ceramide (iso-d17:1(4E))	2715
SLP:000000013	Q9U3D4	sms-1	6239	Caenorhabditis elegans	34836	Ceramide (iso-t17:0) + 1,2-diacyl-sn-glycero-3-phosphocholine => Sphingomyelin (iso-t17:0) + 1,2-diacyl-sn-glycerol	2721
SLP:000000014	Q20735	sms-2	6239	Caenorhabditis elegans	34836	Ceramide (iso-t17:0) + 1,2-diacyl-sn-glycero-3-phosphocholine => Sphingomyelin (iso-t17:0) + 1,2-diacyl-sn-glycerol	2722
SLP:000000021	O18037	cgt-1	6239	Caenorhabditis elegans	34612	UDP-D-glucose + Ceramide (iso-d17:1(4E)) => Glucosyl ceramide (iso-d17:1(4E)) + H+ + UDP	2728 | 2840 | 18372
SLP:000000022	G5EC84	cgt-2	6239	Caenorhabditis elegans	34612	UDP-D-glucose + Ceramide (iso-d17:1(4E)) => Glucosyl ceramide (iso-d17:1(4E)) + H+ + UDP	2729 | 2841 | 18371 | 18374
SLP:000000023	Q21054	cgt-3	6239	Caenorhabditis elegans	34612	UDP-D-glucose + Ceramide (iso-d17:1(4E)) => Glucosyl ceramide (iso-d17:1(4E)) + H+ + UDP	2730 | 18373
SLP:000000028	Q20300	elo-5	6239	Caenorhabditis elegans	35292	11-methyldodecanoyl-CoA + malonyl-CoA + H+ => 3-oxoisopentadecanoyl-CoA + CO2 + CoA	2735
SLP:000000028	Q20300	elo-5	6239	Caenorhabditis elegans	35336	isopentadecanoyl-CoA + malonyl-CoA + H+ => CO2 + 3-oxoisoheptadecanoyl-CoA + CoA	2736
SLP:000000029	Q20303	elo-6	6239	Caenorhabditis elegans	35336	isopentadecanoyl-CoA + malonyl-CoA + H+ => CO2 + 3-oxoisoheptadecanoyl-CoA + CoA	2737
SLP:000000034	Q9XWF0	hsd-1	6239	Caenorhabditis elegans	35460	NAD+ + cholesterol => NADH + cholest-5-en-3-one + H+	2838
SLP:000000034	Q9XWF0	hsd-1	6239	Caenorhabditis elegans	32188	cholest-5-en-3-one => cholest-4-en-3-one	2839
SLP:000000045	P32567	YM8520.14C	559292	Saccharomyces cerevisiae S288c	27430	1,2-diacyl-sn-glycero-3-phosphate + H2O => phosphate + 1,2-diacyl-sn-glycerol	2752 | 2753
SLP:000000050	P38221	CDS1	559292	Saccharomyces cerevisiae S288c	16230	CTP + H+ + 1,2-diacyl-sn-glycero-3-phosphate => diphosphate + a CDP-diacylglycerol	3082 | 12836
SLP:000000056	P40471	AYR1	559292	Saccharomyces cerevisiae S288c	33376	H+ + 1-acylglycerone 3-phosphate + NADPH => 1-acyl-sn-glycero-3-phosphate + NADP+	2766
SLP:000000057	Q05521	DPP1	559292	Saccharomyces cerevisiae S288c	27430	1,2-diacyl-sn-glycero-3-phosphate + H2O => phosphate + 1,2-diacyl-sn-glycerol	2767 | 5345
SLP:000000057	Q05521	DPP1	559292	Saccharomyces cerevisiae S288c	27450	H2O + 1,2-diacyl-sn-glycerol 3-diphosphate => phosphate + H+ + 1,2-diacyl-sn-glycero-3-phosphate	2768 | 5344
SLP:000000058	Q04396	LPP1	559292	Saccharomyces cerevisiae S288c	27430	1,2-diacyl-sn-glycero-3-phosphate + H2O => phosphate + 1,2-diacyl-sn-glycerol	2769 | 5342
SLP:000000058	Q04396	LPP1	559292	Saccharomyces cerevisiae S288c	27450	H2O + 1,2-diacyl-sn-glycerol 3-diphosphate => phosphate + H+ + 1,2-diacyl-sn-glycero-3-phosphate	2770 | 5341
SLP:000000058	Q04396	LPP1	559292	Saccharomyces cerevisiae S288c	33156	1-acyl-sn-glycero-3-phosphate + H2O => 1-acyl-sn-glycerol + phosphate	2771 | 5340
SLP:000000059	P40345	LRO1	559292	Saccharomyces cerevisiae S288c	32860	1-acyl-sn-glycerol + 1,2-diacyl-sn-glycero-3-phosphocholine => 1-acyl-sn-glycero-3-phosphocholine + 1,2-diacyl-sn-glycerol	2776
SLP:000000062	Q07560	CRD1	559292	Saccharomyces cerevisiae S288c	32932	a CDP-diacylglycerol + 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) => a cardiolipin + H+ + CMP(2-)	2778
SLP:000000063	P53264	CLD1	559292	Saccharomyces cerevisiae S288c	32936	a cardiolipin + H2O => H+ + a monolysocardiolipin + Fatty acids	2779 | 2780
SLP:000000064	Q06510	TAZ1	559292	Saccharomyces cerevisiae S288c	12938	1-acyl-sn-glycero-3-phosphocholine + Fatty acyl-CoA => CoA + 1,2-diacyl-sn-glycero-3-phosphocholine	2782 | 2783 | 2784
SLP:000000065	Q03764	EKI1	559292	Saccharomyces cerevisiae S288c	13070	ATP + ethanolamine => ADP + phosphoethanolamine + H+	2785
SLP:000000065	Q03764	EKI1	559292	Saccharomyces cerevisiae S288c	12838	ATP + choline => ADP + H+ + choline phosphate	2786
SLP:000000066	P20485	L3130, L9606.8	559292	Saccharomyces cerevisiae S288c	13070	ATP + ethanolamine => ADP + phosphoethanolamine + H+	2787
SLP:000000066	P20485	L3130, L9606.8	559292	Saccharomyces cerevisiae S288c	12838	ATP + choline => ADP + H+ + choline phosphate	2788
SLP:000000067	P33412	ECT1	559292	Saccharomyces cerevisiae S288c	24593	phosphoethanolamine + H+ + CTP => diphosphate + CDP-ethanolamine	2789
SLP:000000068	P22140	EPT1	559292	Saccharomyces cerevisiae S288c	33772	1,2-diacyl-sn-glycerol + CDP-N-methylethanolamine => CMP(2-) + 1,2-diacyl-sn-glycero-3-phospho-N-methylethanolamine + H+	2792
SLP:000000068	P22140	EPT1	559292	Saccharomyces cerevisiae S288c	33776	1,2-diacyl-sn-glycerol + CDP-N,N-dimethylethanolamine => CMP(2-) + H+ + 1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine	2793
SLP:000000069	P13259	G7729	559292	Saccharomyces cerevisiae S288c	18998	CTP + H+ + phosphocholine => CDP-choline + diphosphate	2794
